brandName,currentKanaCandidate,suggestedKana,confirmedKana,displayNameCandidate,sourceCount,confidence,needsReview,reviewPriority,reviewStatus,note
Tendence,,,,未確認（Tendence）,1,unknown,true,low,pending,読み方要確認
TENSHOUDO,,,,未確認（TENSHOUDO）,1,unknown,true,low,pending,読み方要確認
THE GINZA,,,,未確認（THE GINZA）,1,unknown,true,low,pending,読み方要確認
TIDE WAY,,,,未確認（TIDE WAY）,1,unknown,true,low,pending,読み方要確認
TIME WILL TELL,,,,未確認（TIME WILL TELL）,1,unknown,true,low,pending,読み方要確認
town&country,,,,未確認（town&country）,1,unknown,true,low,pending,読み方要確認
TRUSTY,,,,未確認（TRUSTY）,1,unknown,true,low,pending,読み方要確認
TUSENO,,,,未確認（TUSENO）,1,unknown,true,low,pending,読み方要確認
U.S.POLO,,,,未確認（U.S.POLO）,1,unknown,true,low,pending,読み方要確認
UNDONE,,,,未確認（UNDONE）,1,unknown,true,low,pending,読み方要確認
ungaro,,,,未確認（ungaro）,1,unknown,true,low,pending,読み方要確認
UNITED SERVICE,,,,未確認（UNITED SERVICE）,1,unknown,true,low,pending,読み方要確認
URBAN,,,,未確認（URBAN）,1,unknown,true,low,pending,読み方要確認
Valentino Rudy,,,,未確認（Valentino Rudy）,1,unknown,true,low,pending,読み方要確認
VICTORINOX,,,,未確認（VICTORINOX）,1,unknown,true,low,pending,読み方要確認
VIVAYOU,,,,未確認（VIVAYOU）,1,unknown,true,low,pending,読み方要確認
WEMPE,,,,未確認（WEMPE）,1,unknown,true,low,pending,読み方要確認
WIRED,,,,未確認（WIRED）,1,unknown,true,low,pending,読み方要確認
WITTNAUER,,,,未確認（WITTNAUER）,1,unknown,true,low,pending,読み方要確認
YALE CLUB 懐中時計,,,,未確認（YALE CLUB 懐中時計）,1,unknown,true,low,pending,読み方要確認 / ブランド名ではない可能性
yukiko kimijima,,,,未確認（yukiko kimijima）,1,unknown,true,low,pending,読み方要確認
ZANNETTI,,,,未確認（ZANNETTI）,1,unknown,true,low,pending,読み方要確認
ZEPPELIN,,,,未確認（ZEPPELIN）,1,unknown,true,low,pending,読み方要確認
アトム,,,,未確認（アトム）,1,unknown,true,low,pending,読み方要確認
ドイツ掛時計,,,,未確認（ドイツ掛時計）,1,unknown,true,low,pending,読み方要確認 / ブランド名ではない可能性
バンド,,,,未確認（バンド）,1,unknown,true,low,pending,読み方要確認
ハンドメイド時計,,,,未確認（ハンドメイド時計）,1,unknown,true,low,pending,読み方要確認
フランク三浦,,,,未確認（フランク三浦）,1,unknown,true,low,pending,読み方要確認
懐中時計,,,,未確認（懐中時計）,1,unknown,true,low,pending,読み方要確認 / ブランド名ではない可能性
無印,,,,未確認（無印）,1,unknown,true,low,pending,読み方要確認
OMEGA,オメガ,,オメガ,オメガ（OMEGA）,418,high,false,low,pending,一般的な日本語表記
GAGAMILANO,ガガミラノ,,ガガミラノ,ガガミラノ（GAGAMILANO）,176,high,false,low,pending,一般的な日本語表記
CARTIER,カルティエ,,カルティエ,カルティエ（CARTIER）,116,high,false,low,pending,一般的な日本語表記
GUCCI,グッチ,,グッチ,グッチ（GUCCI）,74,high,false,low,pending,一般的な日本語表記
BVLGARI,ブルガリ,,ブルガリ,ブルガリ（BVLGARI）,70,high,false,low,pending,一般的な日本語表記
LONGINES,ロンジン,,ロンジン,ロンジン（LONGINES）,69,high,false,low,pending,一般的な日本語表記
HERMES,エルメス,,エルメス,エルメス（HERMES）,68,high,false,low,pending,一般的な日本語表記
TUDOR,チューダー,,チューダー,チューダー（TUDOR）,37,high,false,low,pending,一般的な日本語表記
IWC,アイ・ダブリュー・シー,,アイ・ダブリュー・シー,アイ・ダブリュー・シー（IWC）,35,high,false,low,pending,一般的な日本語表記
chopard,ショパール,,ショパール,ショパール（chopard）,25,high,false,low,pending,一般的な日本語表記
CASIO,カシオ,,カシオ,カシオ（CASIO）,24,high,false,low,pending,一般的な日本語表記
FRANCK MULLER,フランク・ミュラー,,フランク・ミュラー,フランク・ミュラー（FRANCK MULLER）,24,high,false,low,pending,一般的な日本語表記
HAMILTON,ハミルトン,,ハミルトン,ハミルトン（HAMILTON）,23,high,false,low,pending,一般的な日本語表記
AUDEMARS PIGUET,オーデマ・ピゲ,,オーデマ・ピゲ,オーデマ・ピゲ（AUDEMARS PIGUET）,20,high,false,low,pending,一般的な日本語表記
RADO,ラドー,,ラドー,ラドー（RADO）,18,high,false,low,pending,一般的な日本語表記
Dior,ディオール,,ディオール,ディオール（Dior）,17,high,false,low,pending,一般的な日本語表記
FENDI,フェンディ,,フェンディ,フェンディ（FENDI）,17,high,false,low,pending,一般的な日本語表記
SKAGEN,スカーゲン,,スカーゲン,スカーゲン（SKAGEN）,16,high,false,low,pending,一般的な日本語表記
Baume&Mercier,ボーム＆メルシエ,,ボーム＆メルシエ,ボーム＆メルシエ（Baume&Mercier）,15,high,false,low,pending,一般的な日本語表記
VACHERON CONSTANTIN,ヴァシュロン・コンスタンタン,,ヴァシュロン・コンスタンタン,ヴァシュロン・コンスタンタン（VACHERON CONSTANTIN）,11,high,false,low,pending,一般的な日本語表記
BURBERRY,バーバリー,,バーバリー,バーバリー（BURBERRY）,9,high,false,low,pending,一般的な日本語表記
PANERAI,パネライ,,パネライ,パネライ（PANERAI）,9,high,false,low,pending,一般的な日本語表記
TIFFANY,ティファニー,,ティファニー,ティファニー（TIFFANY）,8,high,false,low,pending,一般的な日本語表記
TISSOT,ティソ,,ティソ,ティソ（TISSOT）,8,high,false,low,pending,一般的な日本語表記
ALBA,アルバ,,アルバ,アルバ（ALBA）,7,high,false,low,pending,一般的な日本語表記
ORIS,オリス,,オリス,オリス（ORIS）,7,high,false,low,pending,一般的な日本語表記
WALTHAM,ウォルサム,,ウォルサム,ウォルサム（WALTHAM）,7,high,false,low,pending,一般的な日本語表記
Yves Saint Laurent,イヴ・サンローラン,,イヴ・サンローラン,イヴ・サンローラン（Yves Saint Laurent）,7,high,false,low,pending,一般的な日本語表記
