sourceBrandName,approvedBrandName,approvedBrandNameKana,approvedDisplayName,hasKana,sourceCount,reviewStatus,note
SWISS MILITARY,SWISS MILITARY,スイスミリタリー,スイスミリタリー（SWISS MILITARY）,true,1,pending,読み方要確認
SWIZA,SWIZA,スウィザ,スウィザ（SWIZA）,true,1,pending,読み方要確認
tag Heuer,tag Heuer,タグ・ホイヤー,タグ・ホイヤー（tag Heuer）,true,1,pending,一般的な日本語表記 / 表記ゆれ疑い: Tag Heuer / 表記ゆれ確認
Tendence,Tendence,,Tendence,false,1,pending,読み方要確認
TENSHOUDO,TENSHOUDO,,TENSHOUDO,false,1,pending,読み方要確認　天賞堂
THE GINZA,THE GINZA,ザ・ギンザ,ザ・ギンザ（THE GINZA）,true,1,pending,読み方要確認
TIDE WAY,TIDE WAY,タイドウェイ,タイドウェイ（TIDE WAY）,true,1,pending,読み方要確認
TIME WILL TELL,TIME WILL TELL,タイムウィルテル,タイムウィルテル（TIME WILL TELL）,true,1,pending,読み方要確認
town&country,town&country,タウン&カントリー,タウン&カントリー（town&country）,true,1,pending,読み方要確認
TRUSTY,TRUSTY,トラスティ,トラスティ（TRUSTY）,true,1,pending,読み方要確認
TUSENO,TUSENO,トゥセノー,トゥセノー（TUSENO）,true,1,pending,読み方要確認
U.S.POLO,U.S.POLO,ユーエスポロ,ユーエスポロ（U.S.POLO）,true,1,pending,読み方要確認
UNDONE,UNDONE,アンダーン,アンダーン（UNDONE）,true,1,pending,読み方要確認
ungaro,ungaro,ウンガロ,ウンガロ（ungaro）,true,1,pending,読み方要確認
UNITED SERVICE,UNITED SERVICE,,UNITED SERVICE,false,1,pending,読み方要確認
URBAN,URBAN,,URBAN,false,1,pending,読み方要確認
Valentino Rudy,Valentino Rudy,ヴァレンティノ・ルディー,ヴァレンティノ・ルディー（Valentino Rudy）,true,1,pending,読み方要確認
VICTORINOX,VICTORINOX,ビクトリノックス,ビクトリノックス（VICTORINOX）,true,1,pending,読み方要確認
VIVAYOU,VIVAYOU,ビバユー,ビバユー（VIVAYOU）,true,1,pending,読み方要確認
WEMPE,WEMPE,ヴェンペ,ヴェンペ（WEMPE）,true,1,pending,読み方要確認
WIRED,WIRED,ワイアード,ワイアード（WIRED）,true,1,pending,読み方要確認
WITTNAUER,WITTNAUER,ウィットナー,ウィットナー（WITTNAUER）,true,1,pending,読み方要確認
YALE CLUB 懐中時計,YALE CLUB 懐中時計,,YALE CLUB 懐中時計,false,1,pending,読み方要確認 / ブランド名ではない可能性
yukiko kimijima,yukiko kimijima,,yukiko kimijima,false,1,pending,読み方要確認
ZANNETTI,ZANNETTI,ザネッティ,ザネッティ（ZANNETTI）,true,1,pending,読み方要確認
ZEPPELIN,ZEPPELIN,ツェッペリン,ツェッペリン（ZEPPELIN）,true,1,pending,読み方要確認
アトム,アトム,,アトム,false,1,pending,読み方要確認
ドイツ掛時計,ドイツ掛時計,,ドイツ掛時計,false,1,pending,読み方要確認 / ブランド名ではない可能性
バンド,バンド,,バンド,false,1,pending,読み方要確認
ハンドメイド時計,ハンドメイド時計,,ハンドメイド時計,false,1,pending,読み方要確認
フランク三浦,フランク三浦,,フランク三浦,false,1,pending,読み方要確認
懐中時計,懐中時計,,懐中時計,false,1,pending,読み方要確認 / ブランド名ではない可能性
無印,無印,,無印,false,1,pending,読み方要確認
OMEGA,OMEGA,オメガ,オメガ（OMEGA）,true,418,pending,一般的な日本語表記
GAGAMILANO,GAGAMILANO,ガガミラノ,ガガミラノ（GAGAMILANO）,true,176,pending,一般的な日本語表記
CARTIER,CARTIER,カルティエ,カルティエ（CARTIER）,true,116,pending,一般的な日本語表記
GUCCI,GUCCI,グッチ,グッチ（GUCCI）,true,74,pending,一般的な日本語表記
BVLGARI,BVLGARI,ブルガリ,ブルガリ（BVLGARI）,true,70,pending,一般的な日本語表記
LONGINES,LONGINES,ロンジン,ロンジン（LONGINES）,true,69,pending,一般的な日本語表記
HERMES,HERMES,エルメス,エルメス（HERMES）,true,68,pending,一般的な日本語表記
TUDOR,TUDOR,チューダー,チューダー（TUDOR）,true,37,pending,一般的な日本語表記　「チュードル」とも言うイ
IWC,IWC,アイ・ダブリュー・シー,アイ・ダブリュー・シー（IWC）,true,35,pending,一般的な日本語表記
chopard,chopard,ショパール,ショパール（chopard）,true,25,pending,一般的な日本語表記
CASIO,CASIO,カシオ,カシオ（CASIO）,true,24,pending,一般的な日本語表記
FRANCK MULLER,FRANCK MULLER,フランク・ミュラー,フランク・ミュラー（FRANCK MULLER）,true,24,pending,一般的な日本語表記
HAMILTON,HAMILTON,ハミルトン,ハミルトン（HAMILTON）,true,23,pending,一般的な日本語表記
AUDEMARS PIGUET,AUDEMARS PIGUET,オーデマ・ピゲ,オーデマ・ピゲ（AUDEMARS PIGUET）,true,20,pending,一般的な日本語表記
RADO,RADO,ラドー,ラドー（RADO）,true,18,pending,一般的な日本語表記
Dior,Dior,ディオール,ディオール（Dior）,true,17,pending,一般的な日本語表記
FENDI,FENDI,フェンディ,フェンディ（FENDI）,true,17,pending,一般的な日本語表記
SKAGEN,SKAGEN,スカーゲン,スカーゲン（SKAGEN）,true,16,pending,一般的な日本語表記
Baume&Mercier,Baume&Mercier,ボーム＆メルシエ,ボーム＆メルシエ（Baume&Mercier）,true,15,pending,一般的な日本語表記
VACHERON CONSTANTIN,VACHERON CONSTANTIN,ヴァシュロン・コンスタンタン,ヴァシュロン・コンスタンタン（VACHERON CONSTANTIN）,true,11,pending,一般的な日本語表記
BURBERRY,BURBERRY,バーバリー,バーバリー（BURBERRY）,true,9,pending,一般的な日本語表記
PANERAI,PANERAI,パネライ,パネライ（PANERAI）,true,9,pending,一般的な日本語表記
TIFFANY,TIFFANY,ティファニー,ティファニー（TIFFANY）,true,8,pending,一般的な日本語表記
TISSOT,TISSOT,ティソ,ティソ（TISSOT）,true,8,pending,一般的な日本語表記
ALBA,ALBA,アルバ,アルバ（ALBA）,true,7,pending,一般的な日本語表記
ORIS,ORIS,オリス,オリス（ORIS）,true,7,pending,一般的な日本語表記
WALTHAM,WALTHAM,ウォルサム,ウォルサム（WALTHAM）,true,7,pending,一般的な日本語表記
Yves Saint Laurent,Yves Saint Laurent,イヴ・サンローラン,イヴ・サンローラン（Yves Saint Laurent）,true,7,pending,一般的な日本語表記
